location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Somalia,2021-04-17,"Oxford/AstraZeneca, Sinopharm/Beijing",https://reliefweb.int/report/iran-islamic-republic/covid-19-situation-updates-week-15-11-17-april-2021,117567,117567,0,
Somalia,2021-05-02,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,123570,123570,0,
Somalia,2021-05-16,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,124471,124471,0,
Somalia,2021-05-24,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,125205,125205,0,
Somalia,2021-05-25,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,125582,125582,0,
Somalia,2021-05-27,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,129461,128519,942,
Somalia,2021-05-31,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,134133,129419,4714,
Somalia,2021-06-02,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,137618,129419,8199,
Somalia,2021-06-08,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,142018,129419,12599,
Somalia,2021-06-09,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,143379,129733,13646,
Somalia,2021-06-12,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,154986,135107,19879,
Somalia,2021-06-14,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,156548,135107,21441,
Somalia,2021-06-17,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,158709,135107,23602,
Somalia,2021-06-18,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,159923,135107,24816,
Somalia,2021-06-20,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,163978,135107,28871,
Somalia,2021-06-22,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,178264,135107,43157,
Somalia,2021-06-23,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,190399,135760,54639,
Somalia,2021-06-28,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,204176,137981,66195,
Somalia,2021-06-29,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,208415,138603,69812,
Somalia,2021-07-06,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,234363,149336,85027,
Somalia,2021-07-08,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,235882,149996,85886,
Somalia,2021-07-11,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,249790,162655,87135,
Somalia,2021-08-02,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,279869,186595,,
Somalia,2021-08-21,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,282522,188765,93757,
Somalia,2021-08-30,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,291053,194876,96177,
Somalia,2021-09-01,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,295107,197682,97425,
Somalia,2021-09-06,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,310005,207256,102749,
Somalia,2021-09-11,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,339599,223498,116200,
Somalia,2021-09-15,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,351305,231089,120216,
Somalia,2021-09-20,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,390141,241945,148196,
Somalia,2021-09-23,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,430762,249200,181599,
Somalia,2021-09-26,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,464359,250415,213944,
Somalia,2021-09-28,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,477075,251458,225617,
Somalia,2021-09-29,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,495041,259041,236000,
Somalia,2021-10-06,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",https://covid19.who.int/,542501,297741,244760,
